University Name,Address,District,Institute Type
"JAMIA HAMDARD DEEMED TO BE
UNIVERSITY","DEPARTMENT OF MANAGEMENT
HAMDARD NAGAR NEW DELHI 110062",SOUTH DELHI,"Deemed to be
University(Govt)"
"DELHI PHARMACEUTICAL SCIENCES
AND RESEARCH UNIVERSITY","PUSHP VIHAR SECTOR-III, M.B. ROAD,
NEW DELHI",SOUTH DELHI,"State Government
University"
JAMIA MILLIA ISLAMIA (A CENTRAL UNIVERSITY),"FACULTY OF ENGINEERING & TECHONOLOGY JAMIA MILLIA ISLAMIA MAULANA MOHAMMED ALI JAUHAR MARG JAMIA NAGAR, NEW DELHI-110025",SOUTH DELHI,Central University
NSUT EAST CAMPUS,"GEETA COLONY, DELHI - 110 031",EAST DELHI,"State Government
University"
"BHAI PARMANAND DSEU SHAKARPUR
CAMPUS-II","OPP. SHAKARPUR, DELHI",EAST DELHI,Government
"SRI SUKHMANI INSTITUTE OF
MANAGEMENT","PLOT NO.2, BLOCK-PSP, SECTOR - 8,
DWARKA",NORTH WEST DELHI,"Private-Self
Financing"
"TECNIA INSTITUTE OF ADVANCED
STUDIES CDL","B-71/2, WAZIRPUR, INDUSTRIAL AREA,
WAZIRPUR, NEW DELHI - 110052",KARBI ANGLONG,"Private-Self
Financing"
DSEU RAJOKRI CAMPUS,"RAJOKARI, DELHI",SOUTH WEST DELHI,Government
"INDIRA GANDHI DELHI TECHNICAL
UNIVERSITY FOR WOMEN","KASHMERE GATE, DELHI",CENTRAL DELHI,"State Government
University"
JAWAHARLAL NEHRU UNIVERSITY,"SCHOOL OF COMPUTER AND SYSTEMS
SCIENCES JAWAHARLAL NEHRU UNIVERSITY",SOUTH WEST DELHI,Central University
"NETAJI SUBHAS UNIVERSITY OF
TECHNOLOGY WEST CAMPUS","BEHIND RAO TULA RAM HOSPITAL
JAFFARPUR DELHI-110073",SOUTH WEST DELHI,"State Government
University"
ENTREPRENEURSHIP & MANAGEMENT PROCESSES INTERNATIONAL,"CAMPUS P.O: CSKM EDUCATIONAL
COMPLEX, SATBARI, CHATTARPUR, NEW DELHI",SOUTH DELHI,Private-Self Financing
"BHARATI VIDYAPEETH'S COLLEGE OF
ENGINEERING","A-4, PASCHIM VIHAR, ROHTAK ROAD,
NEW DELHI - 110 063.",WEST DELHI,"Private-Self
Financing"
